age,income,education,target
56,61687,Bachelors,0
46,33483,Masters,0
32,66953,Masters,1
60,55596,High School,1
25,44202,Masters,0
38,32618,Masters,0
56,58491,Bachelors,1
36,39433,Bachelors,0
40,29330,High School,0
28,44703,Masters,0
28,43078,Masters,1
41,50999,Masters,1
53,47355,High School,1
57,68013,High School,0
41,60475,Bachelors,0
20,47425,High School,1
39,36392,Masters,1
19,67829,Masters,1
41,61782,High School,1
61,89840,Masters,0
47,53952,Masters,1
55,74626,High School,0
19,56912,High School,1
38,51288,Masters,0
50,27350,Masters,1
29,60822,Masters,1
39,37348,Bachelors,1
61,42300,Bachelors,1
42,49346,Bachelors,0
44,45870,High School,1
59,26553,Bachelors,0
45,38065,High School,0
33,63958,High School,0
32,60166,Bachelors,0
64,60476,Bachelors,1
61,52604,Bachelors,0
20,59934,Masters,0
54,53616,Bachelors,0
24,47476,Masters,1
38,67471,High School,1
26,46313,Masters,1
56,38454,Bachelors,1
35,68182,High School,0
21,68502,High School,0
42,26387,High School,1
31,59569,Masters,0
26,19333,Bachelors,0
43,66042,High School,0
19,35993,High School,1
37,61763,High School,1
